path,category,lines,words,headings,assessment,flags,recommendation
docs/SUBAGENT_RUN_CONTRACT.md,docs,54,323,8,adequate,legacy-task-reference,Keep; review during 4.0 migration.
docs/TASTE_PROFILE.md,docs,132,530,15,adequate,,Keep; review during 4.0 migration.
docs/TASTE_REVIEW.md,docs,69,279,16,adequate,,Keep; review during 4.0 migration.
docs/TEAM_CULTURE.md,docs,89,558,13,adequate,,Keep; review during 4.0 migration.
docs/TICKETED_MEMORY.md,docs,30,158,6,adequate,legacy-task-reference;custom-chronicle,Keep; review during 4.0 migration.
docs/TICKET_LIFECYCLE.md,docs,19,86,3,lightweight-policy,,Review for completeness; add operational examples and machine-enforceable hooks where appropriate.
docs/UI_OBVIOUS_ERRORS_CHECKLIST.md,docs,19,89,1,lightweight-policy,,Review for completeness; add operational examples and machine-enforceable hooks where appropriate.
docs/UI_QUALITY_GATES.md,docs,126,542,13,adequate,,Keep; review during 4.0 migration.
docs/UI_REVIEW_PACKET.md,docs,63,197,11,adequate,,Keep; review during 4.0 migration.
docs/UI_REVIEW_RUNBOOK.md,docs,46,151,5,adequate,,Keep; review during 4.0 migration.
docs/VALIDATOR_RULES.md,docs,25,151,3,adequate,legacy-task-reference,Keep; review during 4.0 migration.
docs/VISUAL_ACCEPTANCE_CRITERIA.md,docs,29,152,4,adequate,,Keep; review during 4.0 migration.
docs/WEB_SERVICE_ROUTING.md,docs,45,114,5,adequate,,Keep; review during 4.0 migration.
docs/WORK_MODES.md,docs,12,72,1,thin-policy,,"Clarify decision logic, triggers, evidence, exceptions, and interaction with related policies."
docs/design-system/README.md,docs,8,48,1,thin-policy,very-thin,"Clarify decision logic, triggers, evidence, exceptions, and interaction with related policies."
examples/README.md,examples,3,16,1,adequate,,Keep; review during 4.0 migration.
examples/existing-product/AGENTS.override.example.md,examples,127,593,9,adequate,legacy-task-reference;custom-chronicle,Keep; review during 4.0 migration.
examples/existing-product/CHRONICLE.example.md,examples,23,129,2,adequate,legacy-task-reference;custom-chronicle,Keep; review during 4.0 migration.
examples/existing-product/CURRENT.example.md,examples,28,109,6,adequate,legacy-task-reference;custom-chronicle,Keep; review during 4.0 migration.
examples/existing-product/TASK_INDEX.example.md,examples,13,69,2,adequate,,Keep; review during 4.0 migration.
examples/existing-product/product/KNOWLEDGE_INDEX.example.md,examples,27,259,1,adequate,,Keep; review during 4.0 migration.
examples/existing-product/product/PRODUCT_MAP.example.md,examples,75,522,7,adequate,,Keep; review during 4.0 migration.
examples/existing-product/product/areas/auth-session.example.md,examples,50,285,6,adequate,,Keep; review during 4.0 migration.
examples/existing-product/product/areas/flow-runs.example.md,examples,46,217,6,adequate,,Keep; review during 4.0 migration.
examples/existing-product/product/areas/libraries.example.md,examples,51,266,6,adequate,,Keep; review during 4.0 migration.
examples/existing-product/product/areas/models.example.md,examples,49,251,6,adequate,,Keep; review during 4.0 migration.
examples/existing-product/product/areas/workflows.example.md,examples,89,488,8,adequate,,Keep; review during 4.0 migration.
examples/greenfield-product/PRODUCT_MAP.hypothesis.example.md,examples,19,40,5,adequate,,Keep; review during 4.0 migration.
framework/FRAMEWORK_INDEX.md,framework,23,73,5,adequate,,Keep; review during 4.0 migration.
framework/README.md,framework,7,42,1,thin-readme,,"Expand with architecture, canonical sources, install/runtime behavior, extension rules, and examples."
kernel/AGENTS.override.template.md,kernel,17,89,1,critical-unsafe,legacy-task-reference;custom-chronicle,Same-directory override replaces root AGENTS; template is too thin to preserve kernel.
kernel/CHRONICLE.template.md,kernel,15,19,2,skeletal-kernel-template,custom-chronicle,Add schema/field semantics while keeping always-load content out of templates.
kernel/CURRENT.template.md,kernel,34,79,7,adequate,,Keep; review during 4.0 migration.
kernel/README.md,kernel,3,20,1,thin-readme,,"Expand with architecture, canonical sources, install/runtime behavior, extension rules, and examples."
kernel/TASK_INDEX.template.md,kernel,11,47,2,skeletal-kernel-template,,Add schema/field semantics while keeping always-load content out of templates.
kernel/templates/IMPACT_MAP.template.md,kernel,21,29,11,adequate,,Keep; review during 4.0 migration.
kernel/templates/TKT-template.md,kernel,26,29,11,adequate,,Keep; review during 4.0 migration.
.agents/playbooks/00-intake_orchestrator.md,playbooks,81,211,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/01-team_architect.md,playbooks,81,205,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/02-delivery_manager.md,playbooks,81,194,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/03-chronicle_keeper.md,playbooks,80,198,21,templated-playbook,custom-chronicle,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/04-consistency_auditor.md,playbooks,81,204,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/05-ai_workflow_auditor.md,playbooks,78,194,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/06-product_strategist.md,playbooks,83,200,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/07-market_researcher.md,playbooks,82,199,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/08-ux_researcher.md,playbooks,84,203,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/09-cx_researcher.md,playbooks,81,198,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/10-business_analyst.md,playbooks,80,187,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/11-domain_expert.md,playbooks,81,187,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/12-growth_activation_strategist.md,playbooks,85,192,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/13-product_designer.md,playbooks,98,289,22,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/14-service_designer.md,playbooks,83,197,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/15-information_architect.md,playbooks,81,190,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/16-ux_interaction_reviewer.md,playbooks,84,201,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/17-ux_writer.md,playbooks,92,262,22,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/18-design_system_guardian.md,playbooks,93,274,22,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/19-design_engineer.md,playbooks,94,277,22,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/20-visual_design_director.md,playbooks,89,265,22,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/21-accessibility_specialist.md,playbooks,84,199,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/22-data_visualization_designer.md,playbooks,83,198,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/23-conversation_designer.md,playbooks,84,194,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/24-localization_specialist.md,playbooks,82,189,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/25-solution_architect.md,playbooks,82,186,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/26-frontend_architect.md,playbooks,84,200,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/27-backend_architect.md,playbooks,85,195,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/28-mobile_architect.md,playbooks,82,195,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/29-api_contract_guardian.md,playbooks,81,193,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/30-data_architect.md,playbooks,83,190,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/31-analytics_engineer.md,playbooks,81,189,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/32-ai_ml_systems_architect.md,playbooks,84,205,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/33-model_evaluation_specialist.md,playbooks,81,196,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/34-ai_safety_reviewer.md,playbooks,83,197,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/35-security_reviewer.md,playbooks,84,197,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/36-privacy_compliance_reviewer.md,playbooks,83,201,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/37-performance_engineer.md,playbooks,82,189,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/38-dependency_curator.md,playbooks,82,189,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/39-migration_planner.md,playbooks,82,186,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/40-devops_release_engineer.md,playbooks,82,195,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/41-observability_engineer.md,playbooks,81,189,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/42-incident_investigator.md,playbooks,83,188,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/43-experimentation_specialist.md,playbooks,81,188,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/44-customer_support_analyst.md,playbooks,82,196,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/45-qa_engineer.md,playbooks,91,262,22,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/46-code_reviewer.md,playbooks,83,198,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/47-refactoring_specialist.md,playbooks,81,192,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/48-technical_writer.md,playbooks,82,193,21,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
.agents/playbooks/50-frontend_engineer.md,playbooks,73,153,18,templated-playbook,,"Deepen role-specific method, artifacts, review criteria, and examples; reduce repeated boilerplate."
product-knowledge/README.md,product_knowledge,3,13,1,thin-readme,,"Expand with architecture, canonical sources, install/runtime behavior, extension rules, and examples."
product-knowledge/protocols/API_DATA_SHAPE_PREWARM.md,product_knowledge,3,20,1,stub-protocol,,Either remove mirror stub or replace with full canonical protocol; avoid duplicate sources.
product-knowledge/protocols/AREA_PREWARM_DECISION_RULES.md,product_knowledge,3,23,1,stub-protocol,,Either remove mirror stub or replace with full canonical protocol; avoid duplicate sources.
product-knowledge/protocols/EXISTING_PRODUCT_ONBOARDING.md,product_knowledge,3,31,1,stub-protocol,,Either remove mirror stub or replace with full canonical protocol; avoid duplicate sources.
product-knowledge/protocols/GREENFIELD_PRODUCT_ONBOARDING.md,product_knowledge,3,30,1,stub-protocol,,Either remove mirror stub or replace with full canonical protocol; avoid duplicate sources.
product-knowledge/protocols/KNOWLEDGE_FRESHNESS_REVIEW.md,product_knowledge,3,19,1,stub-protocol,,Either remove mirror stub or replace with full canonical protocol; avoid duplicate sources.
product-knowledge/protocols/REDESIGN_OR_MIGRATION_ONBOARDING.md,product_knowledge,3,20,1,stub-protocol,,Either remove mirror stub or replace with full canonical protocol; avoid duplicate sources.
product-knowledge/templates/API_DATA_SHAPE_INDEX.template.md,product_knowledge,21,24,7,skeletal-template,,"Add YAML frontmatter schema, field semantics, examples, claim/evidence lifecycle, and validation rules."
product-knowledge/templates/AREA_MAP.template.md,product_knowledge,27,38,10,skeletal-template,,"Add YAML frontmatter schema, field semantics, examples, claim/evidence lifecycle, and validation rules."
product-knowledge/templates/CONTEXT_PACKET.template.md,product_knowledge,15,16,8,skeletal-template,,"Add YAML frontmatter schema, field semantics, examples, claim/evidence lifecycle, and validation rules."
product-knowledge/templates/DECISION_RECORD.template.md,product_knowledge,19,16,6,skeletal-template,,"Add YAML frontmatter schema, field semantics, examples, claim/evidence lifecycle, and validation rules."
product-knowledge/templates/FLOW_MAP.template.md,product_knowledge,29,30,11,skeletal-template,,"Add YAML frontmatter schema, field semantics, examples, claim/evidence lifecycle, and validation rules."
product-knowledge/templates/KNOWLEDGE_INDEX.template.md,product_knowledge,12,18,1,skeletal-template,,"Add YAML frontmatter schema, field semantics, examples, claim/evidence lifecycle, and validation rules."
product-knowledge/templates/PRODUCT_MAP.template.md,product_knowledge,23,32,8,skeletal-template,,"Add YAML frontmatter schema, field semantics, examples, claim/evidence lifecycle, and validation rules."
.agents/role_cards/accessibility_specialist.md,role_cards,29,137,5,thin-role-card,,"Add decision rights, methodologies, evidence standards, anti-patterns, and task-type metadata; keep card concise but meaningful."
.agents/role_cards/ai_ml_systems_architect.md,role_cards,28,141,5,thin-role-card,,"Add decision rights, methodologies, evidence standards, anti-patterns, and task-type metadata; keep card concise but meaningful."
.agents/role_cards/ai_safety_reviewer.md,role_cards,28,134,5,thin-role-card,,"Add decision rights, methodologies, evidence standards, anti-patterns, and task-type metadata; keep card concise but meaningful."
.agents/role_cards/ai_workflow_auditor.md,role_cards,26,129,5,thin-role-card,,"Add decision rights, methodologies, evidence standards, anti-patterns, and task-type metadata; keep card concise but meaningful."
.agents/role_cards/analytics_engineer.md,role_cards,27,125,5,thin-role-card,,"Add decision rights, methodologies, evidence standards, anti-patterns, and task-type metadata; keep card concise but meaningful."
.agents/role_cards/api_contract_guardian.md,role_cards,27,131,5,thin-role-card,,"Add decision rights, methodologies, evidence standards, anti-patterns, and task-type metadata; keep card concise but meaningful."
.agents/role_cards/backend_architect.md,role_cards,28,133,5,thin-role-card,,"Add decision rights, methodologies, evidence standards, anti-patterns, and task-type metadata; keep card concise but meaningful."
.agents/role_cards/business_analyst.md,role_cards,26,128,5,thin-role-card,,"Add decision rights, methodologies, evidence standards, anti-patterns, and task-type metadata; keep card concise but meaningful."
