source_skill,target_skill,target_plugin,disposition,migration_note
debug-control-review,cpt-visual-acceptance-review,cpt-design-ui,merged_rewritten,Use $cpt-visual-acceptance-review; the legacy skill is not activated in 4.0.
dependency-review,cpt-dependency-review,cpt-engineering,retained_rewritten,Use $cpt-dependency-review; the legacy skill is not activated in 4.0.
design-critique,cpt-reference-taste-calibration,cpt-design-ui,merged_rewritten,Use $cpt-reference-taste-calibration; the legacy skill is not activated in 4.0.
design-handoff-qa,cpt-design-handoff,cpt-design-ui,merged_rewritten,Use $cpt-design-handoff; the legacy skill is not activated in 4.0.
design-qa,cpt-visual-acceptance-review,cpt-design-ui,merged_rewritten,Use $cpt-visual-acceptance-review; the legacy skill is not activated in 4.0.
design-recon,cpt-design-recon,cpt-design-ui,retained_rewritten,Use $cpt-design-recon; the legacy skill is not activated in 4.0.
design-source-authority,cpt-design-system-governance,cpt-design-ui,merged_rewritten,Use $cpt-design-system-governance; the legacy skill is not activated in 4.0.
design-system-compliance,cpt-design-system-governance,cpt-design-ui,merged_rewritten,Use $cpt-design-system-governance; the legacy skill is not activated in 4.0.
design-system-manifest,cpt-design-system-governance,cpt-design-ui,merged_rewritten,Use $cpt-design-system-governance; the legacy skill is not activated in 4.0.
devops-release-planning,cpt-production-readiness,cpt-engineering,merged_rewritten,Use $cpt-production-readiness; the legacy skill is not activated in 4.0.
ds-code-contract-enforcement,cpt-design-system-code-audit,cpt-design-ui,merged_rewritten,Use $cpt-design-system-code-audit; the legacy skill is not activated in 4.0.
e2e-visual-state-capture,cpt-visual-acceptance-review,cpt-design-ui,merged_rewritten,Use $cpt-visual-acceptance-review; the legacy skill is not activated in 4.0.
example-taste-board,cpt-reference-taste-calibration,cpt-design-ui,merged_rewritten,Use $cpt-reference-taste-calibration; the legacy skill is not activated in 4.0.
expectation-anticipation,cpt-opportunity-ideation,cpt-product-research,merged_rewritten,Use $cpt-opportunity-ideation; the legacy skill is not activated in 4.0.
experiment-design,cpt-experiment-design,cpt-product-research,retained_rewritten,Use $cpt-experiment-design; the legacy skill is not activated in 4.0.
external-evidence-protocol,cpt-evidence-research-plan,cpt-product-research,merged_rewritten,Use $cpt-evidence-research-plan; the legacy skill is not activated in 4.0.
framework-loading,cpt-task-planning,cpt-core,merged_rewritten,Use $cpt-task-planning; the legacy skill is not activated in 4.0.
frontend-integration-review,cpt-frontend-integration,cpt-engineering,merged_rewritten,Use $cpt-frontend-integration; the legacy skill is not activated in 4.0.
greenfield-onboarding,cpt-knowledge-lifecycle,cpt-core,merged_rewritten,Use $cpt-knowledge-lifecycle; the legacy skill is not activated in 4.0.
growth-activation-planning,cpt-growth-activation,cpt-product-research,merged_rewritten,Use $cpt-growth-activation; the legacy skill is not activated in 4.0.
handoff-docs,cpt-implementation-review,cpt-engineering,merged_rewritten,Use $cpt-implementation-review; the legacy skill is not activated in 4.0.
impact-map,cpt-task-planning,cpt-core,retained_rewritten,Use $cpt-task-planning; the legacy skill is not activated in 4.0.
implementation-review,cpt-implementation-review,cpt-engineering,merged_rewritten,Use $cpt-implementation-review; the legacy skill is not activated in 4.0.
incident-review,cpt-incident-review,cpt-engineering,retained_rewritten,Use $cpt-incident-review; the legacy skill is not activated in 4.0.
information-architecture,cpt-information-architecture,cpt-product-research,retained_rewritten,Use $cpt-information-architecture; the legacy skill is not activated in 4.0.
knowledge-freshness-review,cpt-knowledge-lifecycle,cpt-core,merged_rewritten,Use $cpt-knowledge-lifecycle; the legacy skill is not activated in 4.0.
knowledge-update,cpt-knowledge-lifecycle,cpt-core,merged_rewritten,Use $cpt-knowledge-lifecycle; the legacy skill is not activated in 4.0.
localization-review,cpt-content-design,cpt-design-ui,merged_rewritten,Use $cpt-content-design; the legacy skill is not activated in 4.0.
manifest-freeze-check,cpt-design-system-governance,cpt-design-ui,merged_rewritten,Use $cpt-design-system-governance; the legacy skill is not activated in 4.0.
market-research-planning,cpt-market-research,cpt-product-research,merged_rewritten,Use $cpt-market-research; the legacy skill is not activated in 4.0.
memory-integrity-check,cpt-runtime,cpt-core,merged_rewritten,Use $cpt-runtime; the legacy skill is not activated in 4.0.
migration-planning,cpt-migration-plan,cpt-engineering,merged_rewritten,Use $cpt-migration-plan; the legacy skill is not activated in 4.0.
model-evaluation,cpt-model-evaluation,cpt-ai-agentic,retained_rewritten,Use $cpt-model-evaluation; the legacy skill is not activated in 4.0.
module-design,cpt-screen-module-design,cpt-design-ui,merged_rewritten,Use $cpt-screen-module-design; the legacy skill is not activated in 4.0.
new-task-protocol,cpt-runtime,cpt-core,merged_rewritten,Use $cpt-runtime; the legacy skill is not activated in 4.0.
observability-planning,cpt-observability-plan,cpt-engineering,merged_rewritten,Use $cpt-observability-plan; the legacy skill is not activated in 4.0.
opportunity-event-triage,cpt-opportunity-ideation,cpt-product-research,merged_rewritten,Use $cpt-opportunity-ideation; the legacy skill is not activated in 4.0.
performance-review,cpt-performance-review,cpt-engineering,retained_rewritten,Use $cpt-performance-review; the legacy skill is not activated in 4.0.
privacy-impact-review,cpt-privacy-impact,cpt-risk-operations,merged_rewritten,Use $cpt-privacy-impact; the legacy skill is not activated in 4.0.
proactive-proposal-review,cpt-opportunity-ideation,cpt-product-research,merged_rewritten,Use $cpt-opportunity-ideation; the legacy skill is not activated in 4.0.
product-knowledge-onboarding,cpt-knowledge-lifecycle,cpt-core,merged_rewritten,Use $cpt-knowledge-lifecycle; the legacy skill is not activated in 4.0.
product-planning,cpt-product-scope,cpt-product-research,merged_rewritten,Use $cpt-product-scope; the legacy skill is not activated in 4.0.
production-readiness-review,cpt-production-readiness,cpt-engineering,merged_rewritten,Use $cpt-production-readiness; the legacy skill is not activated in 4.0.
production-service-planning,cpt-production-readiness,cpt-engineering,merged_rewritten,Use $cpt-production-readiness; the legacy skill is not activated in 4.0.
progress-chronicle,cpt-runtime,cpt-core,merged_rewritten,Use $cpt-runtime; the legacy skill is not activated in 4.0.
prototype-ui-kit,cpt-screen-module-design,cpt-design-ui,merged_rewritten,Use $cpt-screen-module-design; the legacy skill is not activated in 4.0.
refactoring-planning,cpt-refactor-plan,cpt-engineering,merged_rewritten,Use $cpt-refactor-plan; the legacy skill is not activated in 4.0.
reference-fidelity,cpt-reference-taste-calibration,cpt-design-ui,merged_rewritten,Use $cpt-reference-taste-calibration; the legacy skill is not activated in 4.0.
repo-recon,cpt-task-planning,cpt-core,merged_rewritten,Use $cpt-task-planning; the legacy skill is not activated in 4.0.
research-ops,cpt-ux-research,cpt-product-research,merged_rewritten,Use $cpt-ux-research; the legacy skill is not activated in 4.0.
research-planning,cpt-evidence-research-plan,cpt-product-research,merged_rewritten,Use $cpt-evidence-research-plan; the legacy skill is not activated in 4.0.
risk-review,cpt-cross-cutting-risk,cpt-risk-operations,merged_rewritten,Use $cpt-cross-cutting-risk; the legacy skill is not activated in 4.0.
screen-redesign,cpt-screen-module-design,cpt-design-ui,merged_rewritten,Use $cpt-screen-module-design; the legacy skill is not activated in 4.0.
screenshot-reference-comparison,cpt-visual-acceptance-review,cpt-design-ui,merged_rewritten,Use $cpt-visual-acceptance-review; the legacy skill is not activated in 4.0.
security-review,cpt-threat-model,cpt-risk-operations,alias_deprecated,Use $cpt-threat-model; the legacy skill is not activated in 4.0.
self-audit,cpt-framework-audit,cpt-risk-operations,merged_rewritten,Use $cpt-framework-audit; the legacy skill is not activated in 4.0.
service-blueprint,cpt-customer-journey,cpt-product-research,merged_rewritten,Use $cpt-customer-journey; the legacy skill is not activated in 4.0.
state-matrix,cpt-interaction-state-model,cpt-design-ui,merged_rewritten,Use $cpt-interaction-state-model; the legacy skill is not activated in 4.0.
subagent-failure-recovery,cpt-delegation,cpt-risk-operations,merged_rewritten,Use $cpt-delegation; the legacy skill is not activated in 4.0.
subagent-orchestration,cpt-delegation,cpt-risk-operations,merged_rewritten,Use $cpt-delegation; the legacy skill is not activated in 4.0.
subagent-run-contract,cpt-delegation,cpt-risk-operations,merged_rewritten,Use $cpt-delegation; the legacy skill is not activated in 4.0.
task-intake,cpt-runtime,cpt-core,merged_rewritten,Use $cpt-runtime; the legacy skill is not activated in 4.0.
task-ledger,cpt-runtime,cpt-core,merged_rewritten,Use $cpt-runtime; the legacy skill is not activated in 4.0.
taste-calibration,cpt-reference-taste-calibration,cpt-design-ui,merged_rewritten,Use $cpt-reference-taste-calibration; the legacy skill is not activated in 4.0.
taste-review,cpt-visual-acceptance-review,cpt-design-ui,merged_rewritten,Use $cpt-visual-acceptance-review; the legacy skill is not activated in 4.0.
team-routing,cpt-task-planning,cpt-core,merged_rewritten,Use $cpt-task-planning; the legacy skill is not activated in 4.0.
threat-modeling,cpt-threat-model,cpt-risk-operations,merged_rewritten,Use $cpt-threat-model; the legacy skill is not activated in 4.0.
ticket-router,cpt-runtime,cpt-core,merged_rewritten,Use $cpt-runtime; the legacy skill is not activated in 4.0.
ui-heuristic-audit,cpt-visual-acceptance-review,cpt-design-ui,merged_rewritten,Use $cpt-visual-acceptance-review; the legacy skill is not activated in 4.0.
ui-review-packet,cpt-visual-acceptance-review,cpt-design-ui,merged_rewritten,Use $cpt-visual-acceptance-review; the legacy skill is not activated in 4.0.
ux-research-planning,cpt-ux-research,cpt-product-research,merged_rewritten,Use $cpt-ux-research; the legacy skill is not activated in 4.0.
visual-qa-loop,cpt-visual-acceptance-review,cpt-design-ui,merged_rewritten,Use $cpt-visual-acceptance-review; the legacy skill is not activated in 4.0.
