source_skill,source_lines,source_chars,generic_boilerplate,target_skill,target_plugin,disposition
manifest-freeze-check,27,889,false,cpt-design-system-governance,cpt-design-ui,merged_rewritten
market-research-planning,54,1217,true,cpt-market-research,cpt-product-research,merged_rewritten
memory-integrity-check,20,734,false,cpt-runtime,cpt-core,merged_rewritten
migration-planning,54,1165,true,cpt-migration-plan,cpt-engineering,merged_rewritten
model-evaluation,54,1143,true,cpt-model-evaluation,cpt-ai-agentic,retained_rewritten
module-design,69,2129,false,cpt-screen-module-design,cpt-design-ui,merged_rewritten
new-task-protocol,39,1500,false,cpt-runtime,cpt-core,merged_rewritten
observability-planning,54,1141,true,cpt-observability-plan,cpt-engineering,merged_rewritten
opportunity-event-triage,59,1353,true,cpt-opportunity-ideation,cpt-product-research,merged_rewritten
performance-review,54,1115,true,cpt-performance-review,cpt-engineering,retained_rewritten
privacy-impact-review,54,1162,true,cpt-privacy-impact,cpt-risk-operations,merged_rewritten
proactive-proposal-review,35,984,false,cpt-opportunity-ideation,cpt-product-research,merged_rewritten
product-knowledge-onboarding,33,1277,false,cpt-knowledge-lifecycle,cpt-core,merged_rewritten
product-planning,54,1147,true,cpt-product-scope,cpt-product-research,merged_rewritten
production-readiness-review,52,1248,false,cpt-production-readiness,cpt-engineering,merged_rewritten
production-service-planning,46,1157,false,cpt-production-readiness,cpt-engineering,merged_rewritten
progress-chronicle,54,1169,true,cpt-runtime,cpt-core,merged_rewritten
prototype-ui-kit,66,2136,false,cpt-screen-module-design,cpt-design-ui,merged_rewritten
refactoring-planning,54,1107,true,cpt-refactor-plan,cpt-engineering,merged_rewritten
reference-fidelity,40,1396,false,cpt-reference-taste-calibration,cpt-design-ui,merged_rewritten
repo-recon,51,1664,false,cpt-task-planning,cpt-core,merged_rewritten
research-ops,54,1165,true,cpt-ux-research,cpt-product-research,merged_rewritten
research-planning,54,1168,true,cpt-evidence-research-plan,cpt-product-research,merged_rewritten
risk-review,54,1092,true,cpt-cross-cutting-risk,cpt-risk-operations,merged_rewritten
screen-redesign,73,2230,false,cpt-screen-module-design,cpt-design-ui,merged_rewritten
screenshot-reference-comparison,27,895,false,cpt-visual-acceptance-review,cpt-design-ui,merged_rewritten
security-review,54,1134,true,cpt-threat-model,cpt-risk-operations,alias_deprecated
self-audit,54,1151,true,cpt-framework-audit,cpt-risk-operations,merged_rewritten
service-blueprint,54,1180,true,cpt-customer-journey,cpt-product-research,merged_rewritten
state-matrix,43,1320,false,cpt-interaction-state-model,cpt-design-ui,merged_rewritten
subagent-failure-recovery,16,650,false,cpt-delegation,cpt-risk-operations,merged_rewritten
subagent-orchestration,65,1689,true,cpt-delegation,cpt-risk-operations,merged_rewritten
subagent-run-contract,17,469,false,cpt-delegation,cpt-risk-operations,merged_rewritten
task-intake,54,1186,true,cpt-runtime,cpt-core,merged_rewritten
task-ledger,22,696,false,cpt-runtime,cpt-core,merged_rewritten
taste-calibration,72,1878,false,cpt-reference-taste-calibration,cpt-design-ui,merged_rewritten
taste-review,68,1851,false,cpt-visual-acceptance-review,cpt-design-ui,merged_rewritten
team-routing,54,1167,true,cpt-task-planning,cpt-core,merged_rewritten
threat-modeling,54,1110,true,cpt-threat-model,cpt-risk-operations,merged_rewritten
ticket-router,19,730,false,cpt-runtime,cpt-core,merged_rewritten
ui-heuristic-audit,52,1295,false,cpt-visual-acceptance-review,cpt-design-ui,merged_rewritten
ui-review-packet,19,538,false,cpt-visual-acceptance-review,cpt-design-ui,merged_rewritten
ux-research-planning,54,1195,true,cpt-ux-research,cpt-product-research,merged_rewritten
visual-qa-loop,62,1820,false,cpt-visual-acceptance-review,cpt-design-ui,merged_rewritten
